City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Ayan,RU,2020-08-23 00:27:15,56.45,138.17,61.2,53,26,7.25
160,Sitka,US,2020-08-23 00:22:28,57.05,-135.33,60.8,77,90,5.82
161,San Roque,ES,2020-08-23 00:27:16,36.21,-5.38,73.4,73,0,8.05
162,Yellowknife,CA,2020-08-23 00:27:16,62.46,-114.35,60.8,55,40,11.41
163,Narsaq,GL,2020-08-23 00:27:16,60.92,-46.05,46.4,75,5,5.82
164,Kostomuksha,RU,2020-08-23 00:27:16,64.57,30.58,60.19,86,100,10.31
165,Sao Felix Do Xingu,BR,2020-08-23 00:27:17,-6.64,-51.99,82.13,31,14,0.51
166,Kingston,JM,2020-08-23 00:23:15,18.0,-76.79,86.0,74,20,2.24
167,Faya,SA,2020-08-23 00:27:17,18.39,42.45,69.8,72,8,3.98
168,Tura,IN,2020-08-23 00:27:17,25.52,90.22,72.75,97,67,3.65
169,Constitucion,CL,2020-08-23 00:27:17,-35.33,-72.42,53.69,89,21,15.7
170,Sept-Iles,CA,2020-08-23 00:27:18,50.2,-66.38,60.01,82,75,4.7
171,Beaufort,MY,2020-08-23 00:27:18,5.35,115.75,80.6,94,20,2.51
172,Qandala,SO,2020-08-23 00:27:18,11.47,49.87,87.91,51,68,8.95
173,Ternovka,RU,2020-08-23 00:27:18,51.68,41.64,54.57,84,15,6.51
174,Torrevieja,ES,2020-08-23 00:27:18,37.98,-0.68,80.01,86,3,6.2
175,Hilo,US,2020-08-23 00:27:19,19.73,-155.09,82.4,69,90,8.05
176,Torbay,CA,2020-08-23 00:27:19,47.67,-52.73,62.01,72,5,12.75
177,Kruisfontein,ZA,2020-08-23 00:27:19,-34.0,24.73,50.5,91,0,6.31
178,Brae,GB,2020-08-23 00:27:19,60.4,-1.35,53.6,93,100,10.29
179,Geraldton,AU,2020-08-23 00:27:19,-28.77,114.6,60.8,93,75,3.36
180,Cabo San Lucas,MX,2020-08-23 00:26:37,22.89,-109.91,89.6,49,5,11.41
